example_id                                                                                     | status  | run_time               |
./spec/components/sdg/targets/plain_tag_list_component_spec.rb[1:4]                            | passed  | 0.06062 seconds        |
./spec/components/sdg/targets/plain_tag_list_component_spec.rb[1:5]                            | passed  | 0.05706 seconds        |
./spec/components/sdg/targets/plain_tag_list_component_spec.rb[1:6]                            | passed  | 0.06379 seconds        |
./spec/components/sdg/targets/tag_list_component_spec.rb[1:1]                                  | passed  | 0.0607 seconds         |
./spec/components/sdg/targets/tag_list_component_spec.rb[1:2]                                  | passed  | 0.05986 seconds        |
./spec/components/sdg/targets/tag_list_component_spec.rb[1:3]                                  | passed  | 0.06069 seconds        |
./spec/components/sdg/targets/tag_list_component_spec.rb[1:4]                                  | passed  | 0.06124 seconds        |
./spec/components/sdg/targets/tag_list_component_spec.rb[1:5]                                  | passed  | 0.05958 seconds        |
./spec/components/sdg/targets/tag_list_component_spec.rb[1:6]                                  | passed  | 0.06808 seconds        |
./spec/components/sdg_management/menu_component_spec.rb[1:1:1]                                 | passed  | 0.03469 seconds        |
./spec/components/sdg_management/menu_component_spec.rb[1:2:1]                                 | passed  | 0.04018 seconds        |
./spec/components/sdg_management/menu_component_spec.rb[1:3:1]                                 | passed  | 0.04124 seconds        |
./spec/components/sdg_management/menu_component_spec.rb[1:4:1]                                 | passed  | 0.03601 seconds        |
./spec/components/sdg_management/menu_component_spec.rb[1:5:1]                                 | passed  | 0.03499 seconds        |
./spec/components/sdg_management/relations/index_component_spec.rb[1:1]                        | passed  | 0.14997 seconds        |
./spec/components/sdg_management/relations/search_component_spec.rb[1:1:1]                     | passed  | 0.15997 seconds        |
./spec/components/sdg_management/subnavigation_component_spec.rb[1:1]                          | passed  | 0.0068 seconds         |
./spec/components/sdg_management/subnavigation_component_spec.rb[1:2]                          | passed  | 0.00668 seconds        |
./spec/components/sdg_management/subnavigation_component_spec.rb[1:3]                          | passed  | 0.00715 seconds        |
./spec/components/shared/advanced_search_component_spec.rb[1:1:1]                              | passed  | 0.01095 seconds        |
./spec/components/shared/advanced_search_component_spec.rb[1:1:2]                              | passed  | 0.01141 seconds        |
./spec/components/shared/advanced_search_component_spec.rb[1:2:1]                              | passed  | 0.01798 seconds        |
./spec/components/shared/advanced_search_component_spec.rb[1:2:2]                              | passed  | 0.03343 seconds        |
./spec/components/shared/advanced_search_component_spec.rb[1:2:3]                              | passed  | 0.1266 seconds         |
./spec/components/shared/banner_component_spec.rb[1:1]                                         | passed  | 0.01679 seconds        |
./spec/components/shared/banner_component_spec.rb[1:2]                                         | passed  | 0.03279 seconds        |
./spec/components/shared/banner_component_spec.rb[1:3:1]                                       | passed  | 0.03214 seconds        |
./spec/components/shared/banner_component_spec.rb[1:3:2]                                       | passed  | 0.03206 seconds        |
./spec/components/shared/banner_component_spec.rb[1:3:3]                                       | passed  | 0.05313 seconds        |
./spec/components/shared/banner_component_spec.rb[1:3:4]                                       | passed  | 0.03716 seconds        |
./spec/components/shared/banner_component_spec.rb[1:4]                                         | passed  | 0.00788 seconds        |
./spec/components/shared/filter_selector_component_spec.rb[1:1]                                | passed  | 0.00905 seconds        |
